ID	ctl1	ctl2	exp1	exp2
ACP5	7.898059145	7.970765077	11.4022	11.0782
ACP6	6.875917	6.817139	8.38757	7.89391
ACPP	3.330581897	3.252690952	5.48325	5.32859
ACPT	5.875918	5.452307	6.76053	7.01327
ACR	4.597099	4.243232	5.9421	6.00581
ACRBP	7.315173	7.3365	7.52914	7.00973
ACRC	5.856492	6.049997	5.82412	6.19691
ACRV1	3.907189	3.856687	4.93357	4.91671
ACSBG1	3.500039	3.774768	4.56728	4.59266
ACSBG2	4.246252	3.860984	5.62319	5.69061
ACSF2	6.895468	6.707178	8.04999	7.94552
ACSF3	4.959912295	4.744169378	6.04977	6.28326
ACSL1	8.629133375	8.456472595	10.2662	10.1963
ACSL3	8.225268961	8.495186897	8.94223	8.68271
ACSL4	5.782795041	6.171745318	8.04298	8.91288
ACSL5	8.222696	7.932658	9.60622	8.75755
ACSL6	3.108322	3.333918	3.92199	3.85333
ACSM1	3.980895	3.687552	4.56969	4.29076
ACSM2A	4.282019	3.993983	5.74645	5.62051
ACSM2B	3.222116	2.906419	3.97997	4.02874
ACSM3	5.083566	5.247805	6.6846	7.05303
ACSM5	3.256911323	3.520019185	5.03298	5.17446
ACSS1	7.698894	7.972513	9.06382	8.79688
ACSS2	7.14712	7.046932	10.1988	9.27298
ACSS3	5.903505	5.574027	7.95815	8.03613
ACTA1	3.78717141	3.468740242	4.54788	4.62326
ACTA2	12.80339608	12.70763775	12.7785	13.4261
ACTA2-AS1	5.229839052	4.919987301	5.5572	5.48993
ACTB	13.591565	13.66133472	14.8266	14.8549
ACTC1	6.700542956	6.255317612	7.6219	7.69442
ACTG2	6.422388863	6.232745634	8.6964	8.86316
ACTL10	5.378278	5.663781	5.57465	6.22793
ACTL6A	8.239471571	8.287706487	8.47245	7.89139
ACTL6B	3.539274	3.963569	4.86347	4.77725
ACTL7A	4.550809	4.140121	6.23448	6.24645
ACTL7B	4.535382	4.79934	5.1294	5.28948
ACTL8	5.534807	5.332238	6.84403	6.66342
ACTL9	3.170945	3.397011	4.73279	4.56206
ACTN1	9.760104	9.883639	11.5881	11.5673
ACTN2	4.931855172	5.247812326	6.7869	7.59342
ACTN3	4.661773	4.203956	5.76182	6.08751
ACTN4	9.631123743	9.743566981	10.9797	11.2303
ACTR10	9.925934	9.899958	10.3892	10.4332
ACTR1A	8.156948049	8.222986115	9.35029	9.32379
ACTR1B	8.184438885	8.044677987	9.43867	9.46214
ACTR2	8.819100161	9.301814817	8.46547	9.02241
ACTR3	10.99025284	10.9732549	11.404	11.1686
ACTR3B	5.594049495	5.350999487	7.68958	7.52712
ACTR3BP2	4.767094	4.585063	5.90189	5.48806
ACTR3C	4.522017	4.469474	8.44947	6.65709
ACTR5	6.586682	6.565447	8.13115	7.99085
ACTR6	7.742289	7.834266	8.76672	7.55793
ACTR8	5.740384	5.985222	6.24342	6.39841
ACTRT2	4.409643	4.347359	5.29007	5.27683
ACTRT3	3.565264	3.675305	5.30364	5.30727
ACVR1	7.840565123	7.87351433	9.37855	9.17768
ACVR1B	6.018542399	6.328785835	7.10394	7.39201
ACVR1C	3.830872486	3.645053271	6.04848	5.64375
ACVR2A	6.798755434	7.039913947	8.3976	8.44657
ACVR2B	3.695531192	3.579954085	4.55556	4.46818
ACVRL1	6.458174	6.103323	7.23393	7.82415
ACY1	4.716545	4.536567	5.19732	5.19695
ACY3	4.803775018	4.468828944	5.47386	5.62328
ACYP1	7.309016782	7.236370655	7.33691	7.04392
ACYP2	8.025302	7.948567	8.4727	8.57188
ADA	8.52472257	8.73282388	7.9554	8.23415
ADAD1	3.543999	3.795729	6.60286	6.04943
ADAD2	5.143186	5.218932	6.09622	6.16926
ADAL	3.51218	4.359641	4.51246	4.92164
ADAM10	10.35118197	10.25520497	10.9304	10.7093
ADAM11	4.91942	4.45354	5.68085	5.79028
ADAM12	5.619330011	5.645698312	8.52213	9.46519
ADAM15	8.346261263	8.232757732	10.3225	10.3361
ADAM17	7.699885	7.537607	8.80725	8.46737
ADAM18	2.87815865	2.691722444	4.0615	3.83871
ADAM19	6.828374	7.057761	7.7204	8.31011
