"padj","pvalue","stat","log2FoldChange","GeneID","fdr"
1.56076344652037e-74,1.09427430871512e-78,18.7803157457603,0.781653578939707,"2317",1
2.07326721395245e-72,4.3081220084665e-76,18.4603161989311,0.879834002488646,"1294",1
2.07326721395245e-72,4.36079481305289e-76,18.459659811428,0.727733233980705,"444",1
1.67411218379364e-54,4.69497913144118e-58,16.0622129045725,0.79762657298204,"140809",1
2.12609568394229e-54,7.45318545867731e-58,16.0335253669998,0.913590329828034,"29948",1
1.19054795182939e-51,5.00826453829934e-55,-15.6238564275222,-0.702333273790418,"2876",1
9.40952534474691e-44,4.6180100549133e-47,14.4078596380678,1.05173428277986,"1662",1
1.2278426011112e-42,6.88686868743573e-46,-14.2199839953352,-1.2231720578781,"3399",1
4.77581872230854e-42,3.01355735124285e-45,14.1163117533781,0.567361753105209,"8878",1
5.45995041388078e-42,3.82805189222518e-45,14.0994381638612,0.570807864272834,"23657",1
3.28242806813658e-41,2.53149468902071e-44,13.965492486353,0.741893867634874,"1645",1
3.63601793203343e-40,3.059119062217e-43,13.7868294643617,0.61932199946939,"3912",1
2.13613198414338e-39,1.94697579708785e-42,13.6526391273449,0.607098482166644,"9518",1
4.84754355231714e-39,4.75815815273365e-42,13.5873790987664,0.855224921344836,"8061",1
2.99377272438057e-38,3.35836525205701e-41,13.4435697365502,0.577486803621836,"3159",1
2.99377272438057e-38,3.31903736831171e-41,-13.444441159239,-0.566466866858296,"857",1
3.00583145928546e-38,3.58263582751545e-41,13.4387864921121,0.639577303511993,"51149",1
5.38181926632113e-38,6.79189138286338e-41,-13.3913671502463,-0.509113109335502,"3958",1
2.23857872864531e-37,2.98205117045929e-40,13.2810445379542,0.565341803202991,"7296",1
1.58746822252276e-36,2.22599484333276e-39,13.1296785256574,0.812752513747361,"80201",1
5.18555161348588e-36,7.63490036340206e-39,13.0360102394062,0.66498932272381,"2730",1
1.20458762884482e-34,1.85801919894735e-37,12.7902805663401,0.627858921539296,"10626",1
1.94378212963614e-34,3.13447304084913e-37,-12.7495755232253,-0.45902704345352,"7114",1
3.43885894947099e-34,5.78648354394614e-37,-12.7016921677735,-0.405994192754998,"71",1
2.48227991011609e-33,4.35090778608303e-36,-12.5428448716763,-0.58327254896104,"57190",1
4.25107606147192e-33,7.74927978673981e-36,12.4970298423785,0.456855749697527,"3482",1
6.39870469344021e-32,1.21128112404743e-34,12.2764985197324,0.717081385450418,"147166",1
9.50684301898128e-32,1.8663086624937e-34,-12.2414659995518,-0.608644904574032,"7168",1
9.77361531379562e-32,1.98720356236467e-34,12.2363711863342,0.487256304346649,"7328",1
2.57804244613674e-31,5.42251092926469e-34,12.1546021687971,0.907155337903942,"113157",1
6.95118430594524e-30,1.51080918098789e-32,-11.8796042579107,-0.610261214447918,"9589",1
7.64169802895393e-30,1.71446635999808e-32,11.8690286544851,0.494766338435769,"6520",1
