"GeneID","P.adj.Val_combined","log2FC","Ensemble_score"
19,2.19389953247272e-25,0.338965889212062,3
20,2.53178149318603e-08,-0.250385555026135,3
25,9.70371493713799e-09,-0.250922666221527,3
27,1.06594357204695e-09,0.254933782812284,3
30,3.33400156503471e-07,-0.326712077054141,3
38,1.23495008860524e-07,-0.290346383729582,3
47,2.54330351965979e-14,-0.278635752397924,3
50,3.54127216817676e-05,-0.181423027513885,3
60,2.54182412322094e-25,-0.319344380894738,3
71,1.52400305049341e-45,-0.423552121628925,3
81,9.1443857171568e-06,-0.167188291961705,3
87,2.63191676354939e-10,0.216273741815545,3
102,4.39918951429713e-12,-0.298107457388091,3
109,4.15203616323991e-06,0.295443291289026,3
113,4.85361822147726e-21,0.416411807761096,3
114,3.17120661015333e-45,-0.612161215153506,3
120,1.02040369956646e-22,-0.402668315439049,3
128,9.90921717439122e-05,-0.160783744474298,3
132,2.75877954803913e-11,0.304382729243648,3
136,8.3205575373977e-18,0.435074525905888,3
147,1.51584209214638e-06,-0.497911834646741,3
160,0.00172714004855792,-0.147286102254889,3
178,2.5822054856244e-11,-0.388893355478823,3
190,5.74492837771848e-40,0.633301271455611,3
196,4.84636770639266e-26,-0.424107946721377,3
202,1.52801593405613e-06,-0.237516117619699,3
211,0.000292728273277215,0.185848727563224,3
214,3.04806334614019e-16,0.316180822438482,3
217,1.37369793683196e-07,0.238022208473703,3
220,0.000236615931161497,0.172413050483122,3
221,8.25720751529877e-12,-0.257915918805333,3
224,1.74671550546052e-10,-0.271380684032396,3
226,6.89583034739353e-09,-0.191243767941513,3
230,1.48315429934439e-07,-0.383180903134373,3
231,3.55418016626632e-15,-0.250674880935061,3
262,2.90596677873748e-09,0.272220044043739,3
287,1.52582615086991e-05,-0.19585227666703,3
301,2.22036670216285e-28,0.341834809851723,3
302,4.5620770137296e-05,-0.139593052159177,3
307,4.8057153654129e-05,-0.186228826974783,3
309,1.09705892314219e-09,-0.249310292809266,3
311,2.29330142243712e-11,-0.301992537699686,3
323,1.99476914192257e-05,0.22180631021191,3
330,5.33130661864388e-06,-0.749645972636715,3
331,1.39919359201364e-08,0.247613924436556,3
334,2.8021507798043e-06,-0.168498343792772,3
348,7.51068836491893e-43,1.93007844236236,3
350,1.49444289382395e-12,0.687832421921608,3
366,3.05822502806225e-121,-1.35754157427648,3
381,3.53969771253021e-07,-0.237248198278535,3
387,0.000958631309942748,-0.129000691987061,2
392,2.20826165667494e-16,-0.359451940296033,3
414,2.69552793234198e-08,0.249195968379396,3
444,3.90377726408984e-134,0.763893655172549,3
467,7.27847141874404e-20,0.400361058724449,3
468,0.00554167163996727,-0.112691236539659,2
477,7.02246177780252e-24,0.42589419238038,3
488,2.75118369521783e-06,0.172366022804186,3
489,1.43435294623761e-13,-0.32467633683366,3
490,1.51156811604004e-06,-0.188510150621365,3
493,1.94821579349385e-33,-0.482961052360523,3
498,0.000197077554377529,-0.142123205668228,3
506,1.28384035882398e-13,-0.255181205430818,3
509,6.67026791955329e-07,-0.226572931315465,3
515,2.58854861893132e-06,-0.198740781641313,3
518,1.80745027846616e-13,-0.320432457033547,3
526,0.00020846978886563,0.155191362327459,3
528,5.1462763488661e-09,0.217995611492224,3
535,4.2872129482838e-12,0.29789616169924,3
558,1.71743492499147e-13,0.286235539274847,3
567,3.73033705664273e-07,-0.170629855694588,3
594,6.02177627919028e-07,-0.366484137100189,3
598,0.000161816630294351,0.158557418182246,3
618,9.01862607798044e-07,-0.352197964456752,3
623,3.10306939870595e-52,-1.30987436892684,3
624,1.65834789026297e-41,-0.686318103346351,3
629,5.75892709741702e-06,-0.29162137270208,3
644,7.87007297275444e-06,-0.242060321132067,3
645,1.45399425503945e-05,0.178874582018375,3
649,4.02834293307496e-07,-0.341751510876217,3
650,1.53328600810599e-07,0.43240521236285,3
677,2.85410170697911e-18,-0.387461774569773,3
678,1.24784008059411e-06,-0.217907569125395,3
688,1.18656196094645e-13,0.375144461960121,3
706,0.000481052348451137,-0.186236209964996,3
715,8.23399699680461e-10,-0.264326972528147,3
716,4.54873932517898e-08,-0.262918822308905,3
719,6.24675473614562e-09,-0.360036273197661,3
726,7.20347407068453e-07,-0.345344168710458,3
728,4.50188982090931e-16,0.378324787161532,3
734,2.44122028217085e-26,0.398529373206331,3
770,1.4294305698941e-05,-0.562126775910803,3
771,3.59051621611403e-60,-0.739172277268871,3
800,8.98927849464808e-22,-0.32203300568316,3
811,5.76138612817916e-10,0.202083959072772,3
814,1.45015129767915e-05,-0.217481010408009,3
821,5.43581574077663e-15,0.244205524536372,3
823,3.54110101097121e-07,-0.201180574869939,3
824,0.00191208396979526,0.111260477147168,2
826,9.54063904220029e-05,-0.168131940476162,3
828,1.95113314501019e-40,-0.625797539756828,3
830,0.000658924241443022,-0.161908074752531,3
833,1.30853635810963e-05,0.170393347889899,3
834,4.75560887120671e-09,-0.507452179831268,3
847,3.03247703046117e-18,-0.491759377935021,3
857,6.42960920473804e-57,-0.587095549306523,3
867,1.31987832229994e-11,0.317028685633353,3
868,1.44205942417425e-05,-0.222912020862204,3
875,1.75792347120981e-05,0.218273785048834,3
900,8.62714107412242e-11,-0.27335018988881,3
928,2.06668236810274e-18,-0.349070010963187,3
933,3.66167431440918e-42,0.880636979227876,3
950,6.06066259670202e-18,-0.337648870100898,3
960,7.21495650944977e-37,-0.428509080295086,3
966,7.79084606820421e-05,-0.184133124277371,3
968,1.86998462235267e-19,0.31693993292832,3
972,1.54887241189371e-08,-0.226925713460887,3
977,0.000258315716830512,-0.149670356175563,3
989,1.39826922399074e-05,-0.197203456318743,3
994,2.63109559437558e-11,-0.387002570647861,3
1001,6.16517921165092e-23,-1.05411453358073,3
1002,6.81995182913568e-39,0.932756924257548,3
1012,2.41384727568895e-08,0.19683729320493,3
1047,2.02205773399787e-06,0.203548362365405,3
1072,2.80507964142033e-05,-0.15791401900405,3
1104,3.82307054785976e-05,0.194628174431917,3
1106,5.99594324294161e-30,0.434864668281476,3
1116,3.57176461372698e-48,-0.633756951334596,3
1117,5.82612698123988e-34,-1.34476071333839,3
1119,1.09293283919557e-05,0.251762214373695,3
1121,4.68645537988055e-08,0.24112401347704,3
1122,5.67810995888878e-08,-0.306286669306181,3
1173,2.964699605212e-08,-0.194229153969818,3
1176,2.17190569352043e-08,-0.2413504839021,3
1182,0.000126876940059267,0.149167116877741,3
1186,9.22551599752892e-07,0.190830868999964,3
1200,1.61028144853558e-07,0.188951730341582,3
1230,1.58682386985671e-22,-1.0571541393525,3
1244,3.53495196093831e-25,0.429634290309105,3
1261,4.43846745917864e-08,-0.586956708184868,3
1277,1.73644037345946e-24,-0.634566103892499,3
1278,2.29772863385645e-98,-1.34828647055148,3
1289,1.07985040663476e-08,-0.336612207285799,3
1292,1.69553296193108e-06,0.160827723348379,3
1293,1.26370926556114e-31,-0.424850427514069,3
1294,8.26908866597377e-97,0.887209192119737,3
