"GeneID","logFC","logCPM","PValue","p.adj","fdr"
"1662",1.09638606338062,5.53624515411334,1.33639335742054e-89,2.24019618504405e-85,1
"366",-1.35640836927221,5.29611681635843,1.18858285242203e-82,9.96210717757526e-79,1
"113157",0.96907869499609,5.61450768029895,1.00554540399463e-77,5.61865253572066e-74,1
"1278",-1.34757276208652,7.12601680687907,7.62246491564649e-72,3.19438448452455e-68,1
"80201",0.85149267751122,6.10865435010175,2.50921575133123e-71,8.41239672791307e-68,1
"100505994",1.23287125998659,4.47616105039367,2.98674154362408e-66,8.34445808262842e-63,1
"3399",-1.24303846384863,5.09033071533772,4.65336255614957e-65,1.11434737898193e-61,1
"9249",-0.88597437870518,5.74564049257119,7.58246428763758e-60,1.58881061067086e-56,1
"8061",0.922630618013338,6.82844906810642,9.4118661455114e-59,1.75301235774675e-55,1
"9536",-1.05739683083716,7.40615351430329,4.24055957967258e-57,7.10845002340514e-54,1
"3310",1.36542710702442,5.35604942412251,9.69284963971606e-57,1.47710216827782e-53,1
"3162",1.03693792168261,10.1298103596073,4.91333835062968e-54,6.86352423096712e-51,1
"144501",0.959346161854749,6.83640164837142,1.30457231485363e-52,1.67969799621302e-49,1
"7052",-0.848859131106391,5.55941600007672,1.40283791367788e-52,1.67969799621302e-49,1
"8618",-0.839550080468065,5.59017906141334,3.17262240883631e-51,3.54551129595488e-48,1
"26585",0.804218478530495,5.3520659727217,1.94307270619909e-50,2.03573298587595e-47,1
"654433",0.992935221654534,4.81908140359828,3.16187350120924e-50,3.07654984026753e-47,1
"2317",0.814261897759298,8.48910110735628,3.48711131450713e-50,3.07654984026753e-47,1
"1462",-0.897968512382489,5.16009656474471,3.30767424336922e-50,3.07654984026753e-47,1
"29948",0.94018309807739,6.80724815698583,2.87758372717458e-49,2.41184680093137e-46,1
"79768",0.791207391602573,5.50824455392761,4.24444461095733e-48,3.38807738159418e-45,1
"6617",0.736597651038899,6.01334514543269,1.86399798019932e-47,1.42028173373096e-44,1
"1294",0.886989356300124,7.61234334024566,3.16369192439195e-46,2.20970698869092e-43,1
"169611",-1.00140565777885,4.88305005719809,3.07248734799847e-46,2.20970698869092e-43,1
"1645",0.791196190824939,7.29962831999719,1.24994068888425e-45,8.38110230710669e-43,1
"6703",0.806624425816805,5.72793362541839,4.39379429773688e-45,2.83281437742166e-42,1
"140809",0.844109330417091,8.68427479976677,8.7488456014836e-45,5.43173699324702e-42,1
"280636",-0.729940955431442,5.64189959703156,3.01028729380925e-44,1.8021944966473e-41,1
"201294",1.0271343157052,4.33570169945741,6.56908538045088e-44,3.79715787008614e-41,1
