"GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","fdr"
"2317",0.780237519620624,8.49590711680564,22.4494905793257,2.00834264018952e-11,1.81381123846734e-07,16.7215686888944,1
"1294",0.881910499785802,7.63431374450019,22.3247422437343,2.14881084997908e-11,1.81381123846734e-07,16.598179339687,1
"444",0.725987197408482,11.0285192381554,21.5307499663755,3.33289265519056e-11,1.87552979349757e-07,16.2682886261745,1
"2876",-0.702450045898146,7.42193624391392,-20.9885122982272,4.53823690655897e-11,1.91536288641322e-07,15.8986109979026,1
"3399",-1.21952453425903,4.80908250830785,-19.620086665518,1.02422945854485e-10,2.99708505695081e-07,14.528089184717,1
"6319",-0.721556441398524,12.3979726275061,-19.5563427466571,1.06518838654809e-10,2.99708505695081e-07,15.056389612105,1
"29948",0.912966023459305,6.81877732820392,18.9076527175346,1.59865872128051e-10,3.16381688859738e-07,14.6362235902842,1
"3912",0.618634076521272,7.35650077463311,18.7606725578898,1.75588795097521e-10,3.16381688859738e-07,14.5881191735009,1
"1662",1.04943859212186,5.54033259965087,18.6638423538119,1.86853230216296e-10,3.16381688859738e-07,14.2239307749494,1
"857",-0.566690876735651,7.60448592424239,-18.6592397287905,1.87407705757457e-10,3.16381688859738e-07,14.5396618472134,1
"1462",-0.880476309836146,4.98071444365394,-17.8899414570555,3.10566507161754e-10,4.76634888536794e-07,13.685715937057,1
"71",-0.406366302491383,10.9273484715241,-17.527022716929,3.96926024506002e-10,4.91082951211168e-07,13.7516863079075,1
"7168",-0.608980951811716,6.82059491121644,-17.3939014386732,4.34819352315657e-10,4.91082951211168e-07,13.6954131575335,1
"51474",-0.521479666853987,7.10456912967383,-17.3697077537302,4.42115626075993e-10,4.91082951211168e-07,13.688484214797,1
"26585",0.837663007592832,5.41451969451216,17.3032062304141,4.6285928328723e-10,4.91082951211168e-07,13.404020769802,1
"80201",0.810398302160315,6.12122019597494,17.2952006229509,4.65426325043164e-10,4.91082951211168e-07,13.5527445660178,1
"280636",-0.716647910899922,5.50880343338116,-17.0585145180417,5.48698906684314e-10,5.16764873026773e-07,13.3346217723776,1
"140809",0.795523642626552,8.68016643911454,17.0525687636052,5.50987306864229e-10,5.16764873026773e-07,13.4746954670964,1
"23657",0.570528723353186,8.98975492210528,16.7736865712325,6.70782700910492e-10,5.83753888963694e-07,13.2709925027312,1
"8878",0.565698730950885,12.1944165065806,16.6733060285268,7.20536495346144e-10,5.83753888963694e-07,13.0972723068836,1
"3958",-0.509768229734931,9.32903621495335,-16.6624556073072,7.2614806706774e-10,5.83753888963694e-07,13.1789505774187,1
"7114",-0.459549406613835,9.08024068313985,-16.5541294765322,7.84825426435701e-10,6.02246493140341e-07,13.1061742700231,1
"57190",-0.58220106750221,7.36837364661597,-16.4724256426298,8.32456724893306e-10,6.11023236071686e-07,13.0688486043546,1
"5452",0.52886031961589,6.80263113399006,16.3016143529468,9.42402397517463e-10,6.44612206389834e-07,12.9363537587109,1
"2730",0.664106493841469,7.08887523953428,16.2840215180407,9.54585070474224e-10,6.44612206389834e-07,12.9295490553112,1
"83706",0.755213082926093,5.56470839102936,16.222065288903,9.98857481144699e-10,6.48565846026339e-07,12.7509751247557,1
"10626",0.626657588754846,7.22947619794802,16.1459208728536,1.05632081526937e-09,6.60474370495465e-07,12.8315099097802,1
"1645",0.739174691783324,7.30044935785405,15.9597185439491,1.21239594872046e-09,7.13945762442878e-07,12.6954286924234,1
"389792",-0.683986241770214,5.46814391438194,-15.9442675927283,1.22642027667595e-09,7.13945762442878e-07,12.583166479483,1
"3482",0.457914464266307,10.2936619894585,15.6064926437241,1.58106877223535e-09,8.80935890517333e-07,12.3579868639949,1
"51149",0.638207288058285,7.87424948407563,15.5764049714481,1.61764083675141e-09,8.80935890517333e-07,12.4037505939626,1
"4637",-0.526632074900106,7.58749792083143,-15.5269408619821,1.67975988609695e-09,8.86178324909024e-07,12.3671594034938,1
"3159",0.575820002919391,8.80669455634133,15.4858198473394,1.73335745652115e-09,8.86743653969394e-07,12.3130692924991,1
"7980",0.449384299506461,7.72807232718028,15.3943314694283,1.85932660697807e-09,9.23210346441288e-07,12.2655223999448,1
"2872",-0.455488003571781,7.91995945228177,-15.3039547651492,1.9934934535779e-09,9.61547328094347e-07,12.188903491674,1
"3397",-1.16303404972152,4.04554732651984,-15.2283131885153,2.1138066497145e-09,9.79253900655191e-07,11.6121877435075,1
"79768",0.759922531803624,5.53103738561123,15.2087292992599,2.14621456724571e-09,9.79253900655191e-07,12.0356197982625,1
"9589",-0.611244409973931,7.11779443052996,-14.9825482709298,2.56184473186512e-09,1.12815171745915e-06,11.9507169283468,1
"9518",0.604496760447715,10.1322685682061,14.9607768239686,2.60620287767485e-09,1.12815171745915e-06,11.8502981909611,1
"7296",0.563272629934725,10.6676556726048,14.8815675252269,2.77469662760659e-09,1.17106071168136e-06,11.7631924012473,1
"100505994",1.16006861711208,4.46623697533632,14.6575496109648,3.31798858804347e-09,1.36620203276463e-06,11.2763130353852,1
"113157",0.903479526786492,5.61342210584261,14.561186880323,3.58599188304108e-09,1.44139797546428e-06,11.5595084228018,1
"8061",0.851735419039225,6.81613841316563,14.453744861532,3.91254499022466e-09,1.4553380018761e-06,11.5333266809102,1
"23764",0.530871534560487,7.34242101666347,14.4511690355297,3.92075637473398e-09,1.4553380018761e-06,11.5231556707551,1
"60676",0.4499498470816,7.3181947533324,14.4387811361984,3.96050723384384e-09,1.4553380018761e-06,11.5131332625312,1
"7328",0.485790093373864,9.36258980111838,14.4123315686492,4.04683895360157e-09,1.4553380018761e-06,11.4262527254158,1
"643723",1.35735152621129,3.0957984390996,14.4108588327185,4.05170513494708e-09,1.4553380018761e-06,9.94353802107184,1
"9249",-0.819312942037305,5.60495341437248,-14.3409220794882,4.290197051527e-09,1.50889805466414e-06,11.4141861518412,1
"4239",-0.56959014816983,5.59613960988948,-14.23708347305,4.67259467594377e-09,1.56915748928401e-06,11.3310559108468,1
"933",0.85879304509242,4.30352928512931,14.2263194841201,4.71428409002936e-09,1.56915748928401e-06,10.9444572519654,1
"2717",0.67769199687193,5.1448649879202,14.2196346082631,4.74037625598178e-09,1.56915748928401e-06,11.2327836475054,1
"1827",-0.477632541573021,6.50308263837841,-14.1367502089436,5.07711902100988e-09,1.64830621755171e-06,11.2748498182683,1
"1278",-1.2203249900866,6.89074871163994,-14.089063743496,5.28245348788373e-09,1.6594689791143e-06,11.2297662339561,1
"2879",-0.434804845286748,7.91211461719841,-14.0832483977574,5.30809885512215e-09,1.6594689791143e-06,11.1962833127127,1
"3398",-0.836890099005435,4.125108470112,-14.0376298836521,5.51398267643608e-09,1.69249191897443e-06,10.8462443142995,1
"10135",0.329297797024706,12.3077266863252,13.986220751748,5.75634702259158e-09,1.73533304348913e-06,10.9224962356471,1
"60",-0.313079083302733,10.4553251031141,-13.8984518226803,6.197019901567e-09,1.7840463905214e-06,10.9315184547186,1
"83931",0.527872197664399,6.9011110792703,13.8970612872262,6.20428708457818e-09,1.7840463905214e-06,11.0714070614442,1
"5019",-0.488701840609036,6.5062056260193,-13.8912098334265,6.23496843032594e-09,1.7840463905214e-06,11.0703853965315,1
