"ID","statistic","p.value"
"ADCY10",8981.5,8.29373379114029e-06
"ADCY10P1",8366.5,0.00113805043085984
"ADCY3",8024,0.00977701225003315
"ADCY4",8046,0.00862517596906868
"ADCY5",8571.5,0.000259651515409702
"ADCY6",8111,0.00589448968310592
"ADCY7",8271.5,0.00213564667441192
"ADCY8",9066.5,3.77207619312385e-06
"ADCYAP1",8542,0.000321202576710549
"ADCYAP1R1",9276.5,4.85179279767647e-07
"ADD2",9412,1.1812632408491e-07
"ADGB",8049.5,0.008384712113839
"ADH1A",8089,0.00670342723175612
"ADH1B",9558,2.43082013002954e-08
"ADH6",8132,0.00517156729803192
"ADH7",8716,8.22152367901636e-05
"ADHFE1",9711,4.18193817275089e-09
"ADIG",9014,6.28128520082296e-06
"ADIPOQ",9998.5,1.20896969094309e-10
"ADM2",9037,5.05392286944813e-06
"ADO",4465.5,1.29460592854293e-05
"ADORA1",9006,6.7249414572568e-06
"ADORA2A",8904,1.69591307143848e-05
"ADORA2A-AS1",8560.5,0.000277819324603395
"ADORA2B",5052,0.00129941557019424
"ADORA3",8215,0.00311059632223336
"ADPRH",9063.5,3.86076981200808e-06
"ADPRHL1",9023,5.68820212096343e-06
"ADPRM",8211.5,0.00318139082908061
"ADRA1A",8313.5,0.00162115494692225
"ADRA1B",9649.5,8.20748805619784e-09
"ADRA1D",9643.5,8.79784739390475e-09
"ADRA2B",9177,1.29454628110897e-06
"ADRA2C",8795,4.33745157755196e-05
"ADRB2",9340,2.56860900406244e-07
"ADRB3",9095,2.87917840338002e-06
"ADRBK1",8134.5,0.00512089224323522
"ADRBK2",8739,6.90805981450747e-05
"ADSS",4720,0.000111453052599834
"AEBP1",4631,5.39227328616459e-05
"AEBP2",5108,0.00189135107192751
"AFAP1",2594,1.10590739500101e-15
"AFAP1-AS1",3723,6.22170673116883e-09
"AFAP1L1",8492.5,0.000468017078099357
"AFAP1L2",5151,0.00250412634352886
"AFF2",8207,0.00323711416468438
"AFM",9057.5,4.08493341330235e-06
"AFMID",9010.5,6.5018175243681e-06
"AFP",8901.5,1.70879286021173e-05
"AGA",8589,0.000227306055610366
"AGAP2",8674,0.000116567680705481
"AGBL1",8545,0.000312799546733765
"AGBL2",8277,0.00208712021989824
"AGBL4",9286.5,4.36107559762433e-07
"AGBL5",8659,0.000131723968159737
"AGFG2",8322,0.0015387465292305
"AGGF1",4448,1.10620265864911e-05
"AGMAT",8725,7.7144509320528e-05
"AGO3",8552,0.000301122339923954
"AGO4",5642,0.0389761563542847
"AGPAT3",9200.5,1.04534045069292e-06
"AGPAT4-IT1",7945.5,0.0150828883588432
"AGPS",5484,0.0176542839864393
"AGR2",4160,7.14488879947092e-07
"AGR3",5567,0.0270521418691219
"AGRN",8096,0.00638474487793472
"AGRP",8830.5,3.13656990739444e-05
"AGTPBP1",7811.5,0.0300799509051042
"AGTR1",8971,9.32430174131978e-06
"AGTR2",8960,1.00579407583395e-05
"AGXT2",8938.5,1.22310251634761e-05
"AHCYL2",5625.5,0.0360319530154928
"AHI1",8880.5,2.08456782318771e-05
"AHNAK",5600.5,0.0319233217291136
"AHNAK2",3834,2.22189606166591e-08
"AHR",3916,5.51978885585024e-08
"AHSG",8927.5,1.3434024196396e-05
"AHSP",8703,9.16182366628734e-05
"AICDA",8208.5,0.00321595711014179
"AIF1L",9398,1.35806567105449e-07
"AIFM1",8033,0.00929019024883886
"AIFM3",8891,1.8741398312181e-05
"AIPL1",7732,0.0439510968910655
"AIRE",9112.5,2.47177508221484e-06
"AJAP1",9470,6.2493592118914e-08
"AK5",7900,0.0191387167229033
"AK7",8339.5,0.00137552756896463
"AK8",8698.5,9.57701056050099e-05
"AK9",9142,1.86013742348282e-06
"AKAP13",3405,1.26578382936257e-10
"AKAP14",7947,0.0148451017964089
"AKAP3",9147.5,1.73690423106221e-06
