"ID","statistic","p.value"
"ADAM28",30.3210685659133,2.82594343790384e-115
"ADAM29",6.49896940538633,1.96250528035071e-10
"ADAM30",108.324469961944,0
"ADAM32",40.3425750291431,3.41082981243083e-159
"ADAM33",20.8082433580063,1.06399811933394e-69
"ADAM3A",15.4034761347033,4.44145537619987e-44
"ADAM5",6.71629527164947,5.09096623578817e-11
"ADAM6",33.3483877911653,4.27355014296974e-129
"ADAM7",3.44811148319423,0.000612270615428092
"ADAM8",43.7785212009235,5.19853228593816e-173
"ADAM9",7.09503486664408,4.45890133472533e-12
"ADAMDEC1",56.7037731563233,1.18884023158025e-219
"ADAMTS1",24.64827771,2.44729014726132e-88
"ADAMTS12",7.45663733326016,3.95811169119236e-13
"ADAMTS13",50.4660621592306,3.82924523187677e-198
"ADAMTS14",8.3224957985322,8.30797253687023e-16
"ADAMTS15",96.1497964935223,0
"ADAMTS16",32.1445005255994,1.18255483409461e-123
"ADAMTS18",9.22683402346276,7.8898659718353e-19
"ADAMTS19",4.0451132222635,6.05841733590102e-05
"ADAMTS2",6.64196827712888,8.10865917858267e-11
"ADAMTS20",106.355989404346,0
"ADAMTS3",5.80634744095127,1.13733326158673e-08
"ADAMTS4",7.59902196413752,1.48715346064892e-13
"ADAMTS7",3.06483846876206,0.00229577810339402
"ADAMTS8",35.1177745513451,5.86603133274902e-137
"ADAMTS9",13.5614208714517,6.87526117271503e-36
"ADAMTSL1",8.68857876349422,5.28028111608404e-17
"ADAMTSL2",24.7370729228415,9.1079806311716e-89
"ADAMTSL3",24.4295099626708,2.79855984481542e-87
"ADAMTSL4",8.01930131072991,7.62384450017352e-15
"ADAMTSL5",18.2074262204797,3.55054321582647e-57
"ADAP1",11.7338138464817,3.01610094355528e-28
"ADAP2",-3.64145892289494,0.000299419919557271
"ADAR",10.1776927176453,3.10735424450509e-22
"ADARB1",46.0105802619997,1.18848849389443e-181
"ADARB2",55.1649533593035,1.65504136568068e-214
"ADAT1",12.9176501436129,3.90614156658262e-33
"ADAT2",7.48256699102826,3.31531735525454e-13
"ADAT3",16.4586306659255,6.17347219069367e-49
"ADCK1",32.6076621655967,9.3429338299464e-126
"ADCK2",10.8063807012229,1.3330773397668e-24
"ADCK3",352.254399867907,0
"ADCK4",6.79966703664919,3.00558483304083e-11
"ADCK5",34.2051442620823,6.35616789227831e-133
"ADCY1",8.56353776875935,1.36654197783776e-16
"ADCY10",30.1861807842077,1.19442068336858e-114
"ADCY10P1",17.2990892684985,7.1706493877565e-53
"ADCY2",4.18145324447657,3.42144513884369e-05
"ADCY3",10.0626465948959,8.24002999471548e-22
"ADCY4",12.9525004529404,2.78144006944176e-33
"ADCY5",7.94237419682101,1.32499675856758e-14
"ADCY6",14.1211206964273,2.47660120560374e-38
"ADCY7",7.21111519581836,2.07022308515353e-12
"ADCY8",11.9980016363714,2.57174534556913e-29
"ADCY9",1871.85024007709,0
"ADCYAP1",13.6995465851497,1.73106519933648e-36
"ADCYAP1R1",136.551989283443,0
"ADD3",9.1668893273816,1.27102134038147e-18
"ADGB",11.9113075928194,5.78795896054319e-29
"ADH1A",4.09085235564684,5.010509717672e-05
"ADH1B",-8.4443425465519,3.35175390972989e-16
"ADH4",40.1171153652871,2.89558381646138e-158
"ADH5",11.7382362634179,2.89504396023942e-28
"ADH6",12.2413506475407,2.59444677686848e-30
"ADH7",9.92732294528387,2.57121745679403e-21
"ADHFE1",4.77895400129824,2.32128151066482e-06
"ADIPOR1",5.10621995756519,4.68391977314156e-07
"ADIPOR2",555.932024593513,0
"ADIRF",13.8119402552537,5.60972818881998e-37
"ADK",67.7897822727363,6.76353985155986e-254
"ADM",-9.40656569934052,1.86487552061291e-19
"ADM2",6.6715758871594,6.73967627302889e-11
"ADNP2",6.75174583727948,4.07150820768988e-11
"ADORA1",7.46436213941171,3.754750802852e-13
"ADORA2A",189.9654094907,0
"ADORA2A-AS1",14.9279548797354,6.31637795671103e-42
"ADORA2B",13.7462904015818,1.08392843411216e-36
"ADORA3",17.6058603201343,2.55291945744579e-54
"ADPGK",29.4406885291938,3.56085068202995e-111
"ADPRH",9.52970376198765,6.8668147224814e-20
"ADPRHL1",11.5695594143382,1.37267714794419e-27
"ADPRHL2",10.6178294984431,6.98415343177998e-24
"ADPRM",4.30579821734164,2.00387604888911e-05
"ADRA1A",2.9632273048274,0.00318970294363421
"ADRA1B",-4.13087503770588,4.23714360499051e-05
"ADRA1D",6.07405109127662,2.47508913575762e-09
"ADRA2B",16.2908252983638,3.71215572524283e-48
"ADRA2C",27.6516705889396,9.64726925467259e-103
"ADRB1",5.85290167368035,8.75931312750746e-09
"ADRB2",3.34491639755223,0.000885048451368813
"ADRBK1",87.1506451693407,4.49422646264513e-304
"ADRBK2",39.537594443225,7.27756571015811e-156
"ADRM1",19.8998400239735,2.65734805150701e-65
"ADSL",3.25075533294896,0.00122874300861953
"ADSS",14.415095357616,1.24111976228996e-39
"ADSSL1",4.45820214775318,1.02166077721787e-05
"ADTRP",10.4666489046315,2.60127324413875e-23
"AEBP1",51.253468862196,5.88098928741328e-201
"AEN",50.7310739036325,4.29380801851681e-199
"AES",9.0997797249593,2.16213324613462e-18
"AFAP1",4.1906017032557,3.29087294514459e-05
"AFAP1-AS1",6.53262048343708,1.59617374123476e-10
"AFAP1L1",2.94892416549529,0.00333840571034351
"AFAP1L2",-9.97031623209573,1.79305951726251e-21
"AFF1",18.7421213474764,9.89525004449037e-60
"AFF2",6.1632363443679,1.47078922229421e-09
"AFF3",7.23971396223914,1.71111474043243e-12
"AFF4",12.232230157538,2.82860098514454e-30
"AFG3L1P",7.29241058849286,1.2027088393727e-12
"AFG3L2",13.3871373543888,3.88273705230326e-35
"AFM",8.51657280250248,1.94814536908533e-16
"AFMID",13.8961411625531,2.40536317639315e-37
"AFP",1054.24793677305,0
"AFTPH",80.4934355395283,5.38179754024832e-288
"AGA",107.662581295412,0
"AGAP1",8.97595651762918,5.72146937661043e-18
"AGAP2",5.32294741552744,1.54589044045289e-07
"AGAP3",37.7747478965904,1.88660709618884e-148
"AGAP6",32.4026157025945,7.94119393774819e-125
"AGBL1",24.4968187587814,1.3220370805977e-87
"AGBL2",18.9210422583569,1.37294044426602e-60
"AGBL3",4.89079293375468,1.35681917695906e-06
"AGBL4",8.92006372884026,8.85018450824438e-18
"AGBL5",14.1229137941615,2.43198072464817e-38
"AGER",20.7928998721458,1.26284124941128e-69
"AGFG2",3.81305620617748,0.000154440028289899
"AGK",12.0641253372364,1.3822835556686e-29
"AGL",-9.45828891793282,1.22704185902894e-19
"AGMAT",5.09661969568083,4.91528103981179e-07
"AGO1",9.11665160190591,1.89228057189615e-18
"AGO2",15.8542962534713,3.84542259478498e-46
"AGO3",-14.3825155174366,1.73152987302776e-39
"AGO4",6.13406665950057,1.74492136995988e-09
"AGPAT1",11.2233441141685,3.2171139386552e-26
"AGPAT2",15.5021261277445,1.57725397809565e-44
"AGPAT3",14.5331290845675,3.70497615778095e-40
"AGPAT4",17.8402050556845,1.97970357740912e-55
"AGPAT4-IT1",51.5493392312977,5.24571047583256e-202
"AGPAT6",55.1677195760275,1.61983166907105e-214
"AGPAT9",8.13123631805786,3.38713752883106e-15
