"ID","statistic","p.value"
"ABCB8",49828.7032340289,0.000110407956179862
"ACAA1",2005.27472453652,0.000503327916446316
"ADAM2",5457.50496764998,0.00108428946791965
"ADAM32",2165.08386356257,0.000869678913905669
"ADCK3",80200.6698415253,3.81520155123179e-05
"ADRBK1",4368.43053435114,0.000686018057813068
"AFF1",354.39132757898,0.00281086855791492
"AGPAT6",1332.6194816915,0.00321242926068719
"AGXT2",689.611365241635,0.00151843068914021
"AHCYL2",30082.3093357807,4.6622497591407e-05
"AKAP5",556.558862766369,0.00262701618924397
"AKT1",9519.58869396485,0.000382340692802294
